##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000317045.1	PRJNA224116	SAMN02261348	na	na	1173025	1173025	Geitlerinema sp. PCC 7407	strain=PCC 7407	na	latest	Complete Genome	Major	Full	2012-12-05	ASM31704v1	JGI	GCA_000317045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/045/GCF_000317045.1_ASM31704v1	na	na	na	haploid	bacteria	4681111	4681111	58.500000	1	1	1	NCBI RefSeq	GCF_000317045.1-RS_2024_11_05	2024-11-05	3926	3843	61	na
GCF_000317065.1	PRJNA224116	SAMN02261336	na	na	82654	82654	Pseudanabaena sp. PCC 7367	strain=PCC 7367	na	latest	Complete Genome	Major	Full	2012-12-05	ASM31706v1	JGI	GCA_000317065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/065/GCF_000317065.1_ASM31706v1	na	na	na	haploid	bacteria	4885680	4885680	46.000000	2	2	2	NCBI RefSeq	GCF_000317065.1-RS_2025_02_01	2025-02-01	3989	3891	56	na
GCF_000317085.1	PRJNA224116	SAMN02261356	na	na	1173263	1173263	Synechococcus sp. PCC 7502	strain=PCC 7502	na	latest	Complete Genome	Major	Full	2012-12-05	ASM31708v1	JGI	GCA_000317085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/085/GCF_000317085.1_ASM31708v1	na	na	na	haploid	bacteria	3583735	3583735	40.500000	3	3	3	NCBI RefSeq	GCF_000317085.1-RS_2024_08_22	2024-08-22	3750	3609	53	na
GCF_000317105.1	PRJNA224116	SAMN02261334	na	reference genome	56110	118323	Oscillatoria acuminata PCC 6304	strain=PCC 6304	na	latest	Complete Genome	Major	Full	2012-12-05	ASM31710v1	JGI	GCA_000317105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/105/GCF_000317105.1_ASM31710v1	na	assembly from type material	na	haploid	bacteria	7804270	7804270	47.500000	3	3	3	NCBI RefSeq	GCF_000317105.1-RS_2025_06_07	2025-06-07	6151	6000	80	na
GCF_000317125.1	PRJNA224116	SAMN02261359	na	reference genome	251229	54299	Chroococcidiopsis thermalis PCC 7203	strain=PCC 7203	na	latest	Complete Genome	Major	Full	2012-12-05	ASM31712v1	JGI	GCA_000317125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/125/GCF_000317125.1_ASM31712v1	na	assembly from type material	na	haploid	bacteria	6689401	6689401	44.500000	3	3	3	NCBI RefSeq	GCF_000317125.1-RS_2025_05_02	2025-05-02	6242	6046	59	na
GCF_000317435.1	PRJNA224116	SAMN02261327	na	na	1170562	1170562	Calothrix sp. PCC 6303	strain=PCC 6303	na	latest	Complete Genome	Major	Full	2012-12-06	ASM31743v1	JGI	GCA_000317435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/435/GCF_000317435.1_ASM31743v1	na	na	na	haploid	bacteria	6960392	6960392	40.000000	4	4	4	NCBI RefSeq	GCF_000317435.1-RS_2025_02_14	2025-02-14	5791	5599	59	na
GCF_000317475.1	PRJNA224116	SAMN02261335	na	reference genome	179408	482564	Oscillatoria nigro-viridis PCC 7112	strain=PCC 7112	na	latest	Complete Genome	Major	Full	2012-12-06	ASM31747v1	JGI	GCA_000317475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/475/GCF_000317475.1_ASM31747v1	na	assembly from type material	na	haploid	bacteria	8272254	8272254	46.000000	6	6	6	NCBI RefSeq	GCF_000317475.1-RS_2025_04_20	2025-04-20	7063	6773	85	na
GCF_000317495.1	PRJNA224116	SAMN02261349	na	reference genome	1173022	241425	Crinalium epipsammum PCC 9333	strain=PCC 9333	na	latest	Complete Genome	Major	Full	2012-12-06	ASM31749v1	JGI	GCA_000317495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/495/GCF_000317495.1_ASM31749v1	na	na	na	haploid	bacteria	5620407	5620407	40.000000	9	9	9	NCBI RefSeq	GCF_000317495.1-RS_2024_10_11	2024-10-11	5101	4887	58	na
GCF_000317515.1	PRJNA224116	SAMN02261351	na	reference genome	1173027	2886352	Allocoleopsis franciscana PCC 7113	strain=PCC 7113	na	latest	Complete Genome	Major	Full	2012-12-06	ASM31751v1	JGI	GCA_000317515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/515/GCF_000317515.1_ASM31751v1	na	assembly from type material	na	haploid	bacteria	7966510	7966510	46.000000	9	9	9	NCBI RefSeq	GCF_000317515.1-RS_2024_10_11	2024-10-11	6804	6543	87	34289106
GCF_000317555.1	PRJNA224116	SAMN02261347	na	na	1173026	1173026	Gloeocapsa sp. PCC 7428	strain=PCC 7428	na	latest	Complete Genome	Major	Full	2012-12-06	ASM31755v1	JGI	GCA_000317555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/555/GCF_000317555.1_ASM31755v1	na	na	na	haploid	bacteria	5882710	5882710	43.500000	5	5	5	NCBI RefSeq	GCF_000317555.1-RS_2024_08_13	2024-08-13	5297	5153	51	na
GCF_000317575.1	PRJNA224116	SAMN02261352	na	reference genome	111780	102116	Stanieria cyanosphaera PCC 7437	strain=PCC 7437	na	latest	Complete Genome	Major	Full	2012-12-06	ASM31757v1	JGI	GCA_000317575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/575/GCF_000317575.1_ASM31757v1	na	assembly from type material	na	haploid	bacteria	5544990	5544990	36.000000	6	6	6	NCBI RefSeq	GCF_000317575.1-RS_2024_12_09	2024-12-09	5046	4862	55	na
GCF_000317615.1	PRJNA224116	SAMN02261331	na	reference genome	13035	292566	Dactylococcopsis salina PCC 8305	strain=PCC 8305	na	latest	Complete Genome	Major	Full	2012-12-07	ASM31761v1	JGI	GCA_000317615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/615/GCF_000317615.1_ASM31761v1	na	assembly from type material	na	haploid	bacteria	3781008	3781008	42.500000	1	1	1	NCBI RefSeq	GCF_000317615.1-RS_2024_12_13	2024-12-13	3830	3721	55	na
GCF_000317635.1	PRJNA224116	SAMN02232029	na	na	65093	65093	Halothece sp. PCC 7418	strain=PCC 7418	na	latest	Complete Genome	Major	Full	2012-12-07	ASM31763v1	DOE Joint Genome Institute	GCA_000317635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/635/GCF_000317635.1_ASM31763v1	na	na	na	haploid	bacteria	4179170	4179170	43.000000	1	1	1	NCBI RefSeq	GCF_000317635.1-RS_2024_11_05	2024-11-05	3953	3826	59	na
GCF_000317675.1	PRJNA224116	SAMN02261329	na	reference genome	755178	379064	Cyanobacterium aponinum PCC 10605	strain=PCC 10605	na	latest	Complete Genome	Major	Full	2012-12-07	ASM31767v1	JGI	GCA_000317675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/675/GCF_000317675.1_ASM31767v1	na	assembly from type material	na	haploid	bacteria	4176973	4176973	35.000000	2	2	2	NCBI RefSeq	GCF_000317675.1-RS_2024_08_19	2024-08-19	3600	3484	56	na
GCF_000317695.1	PRJNA224116	SAMN02232008	na	reference genome	272123	1165	Anabaena cylindrica PCC 7122	strain=PCC 7122	na	latest	Complete Genome	Major	Full	2012-12-07	ASM31769v1	DOE Joint Genome Institute	GCA_000317695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/695/GCF_000317695.1_ASM31769v1	na	assembly from type material	na	haploid	bacteria	7063285	7063285	39.000000	7	7	7	NCBI RefSeq	GCF_000317695.1-RS_2025_04_26	2025-04-26	6196	5947	83	na
GCF_000340785.1	PRJNA224116	SAMN02603388	na	na	1148	1148	Synechocystis sp. PCC 6803	strain=PCC 6803	na	latest	Complete Genome	Major	Full	2013-02-19	ASM34078v1	Institute of Biology 3, Faculty of Biology, Albert-Ludwigs-University Freiburg	GCA_000340785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/785/GCF_000340785.1_ASM34078v1	na	na	na	haploid	bacteria	3949306	3949306	47.500000	8	8	8	NCBI RefSeq	GCF_000340785.1-RS_2024_08_13	2024-08-13	3745	3627	51	23069868
GCF_000478825.2	PRJNA224116	SAMN02471775	na	na	1147	1147	Synechocystis sp. PCC 6714	strain=PCC 6714	na	latest	Complete Genome	Major	Full	2014-07-09	ASM47882v2	University of Freiburg	GCA_000478825.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/478/825/GCF_000478825.2_ASM47882v2	na	na	na	haploid	bacteria	3738889	3738889	47.500000	4	4	4	NCBI RefSeq	GCF_000478825.2-RS_2024_08_13	2024-08-13	3537	3424	52	24408876;25081267
GCF_000484535.1	PRJNA224116	SAMN02604186	na	reference genome	1183438	1416614	Gloeobacter kilaueensis JS1	strain=JS1	na	latest	Complete Genome	Major	Full	2013-10-28	ASM48453v1	University of Hawaii at Manoa	GCA_000484535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/484/535/GCF_000484535.1_ASM48453v1	na	assembly from type material	na	haploid	bacteria	4724791	4724791	60.500000	1	1	1	NCBI RefSeq	GCF_000484535.1-RS_2025_03_29	2025-03-29	4552	4453	57	24194836
GCF_000734895.2	PRJNA224116	SAMN02909965	na	na	1337936	1337936	Calothrix sp. 336/3	strain=336/3	na	latest	Complete Genome	Major	Full	2015-05-06	ASM73489v2	University of Turku, Department of Biochemistry	GCA_000734895.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/734/895/GCF_000734895.2_ASM73489v2	na	na	na	haploid	bacteria	6420126	6420126	41.000000	4	4	4	NCBI RefSeq	GCF_000734895.2-RS_2024_08_22	2024-08-22	5514	5360	71	25614574
GCF_000737535.1	PRJNA224116	SAMN02202183	na	na	1280380	1280380	Synechococcus sp. KORDI-100	strain=KORDI 100	na	latest	Complete Genome	Major	Full	2014-08-04	ASM73753v1	Korea Institute of Ocean Science and Technology	GCA_000737535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/535/GCF_000737535.1_ASM73753v1	na	na	na	haploid	bacteria	2789000	2789000	57.500000	1	1	1	NCBI RefSeq	GCF_000737535.1-RS_2024_08_13	2024-08-13	2988	2921	48	na
GCF_000737575.1	PRJNA224116	SAMN02202184	na	na	585423	585423	Synechococcus sp. KORDI-49	strain=KORDI 49	na	latest	Complete Genome	Major	Full	2014-08-04	ASM73757v1	Korea Institute of Ocean Science and Technology	GCA_000737575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/575/GCF_000737575.1_ASM73757v1	na	na	na	haploid	bacteria	2585813	2585813	61.500000	1	1	1	NCBI RefSeq	GCF_000737575.1-RS_2024_08_22	2024-08-22	2685	2617	53	na
GCF_000737595.1	PRJNA224116	SAMN02202185	na	na	585425	585425	Synechococcus sp. KORDI-52	strain=KORDI 52	na	latest	Complete Genome	Major	Full	2014-08-04	ASM73759v1	Korea Institute of Ocean Science and Technology	GCA_000737595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/595/GCF_000737595.1_ASM73759v1	na	na	na	haploid	bacteria	2572069	2572069	59.000000	1	1	1	NCBI RefSeq	GCF_000737595.1-RS_2024_08_22	2024-08-22	2780	2704	58	na
GCF_000757845.1	PRJNA224116	SAMN02769551	na	na	1501268	1501268	Prochlorococcus sp. MIT 0604	strain=MIT 0604	na	latest	Complete Genome	Major	Full	2014-09-25	ASM75784v1	MIT	GCA_000757845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/845/GCF_000757845.1_ASM75784v1	na	na	na	haploid	bacteria	1780061	1780061	31.000000	1	1	1	NCBI RefSeq	GCF_000757845.1-RS_2024_08_13	2024-08-13	2054	2003	44	na
GCF_000757865.1	PRJNA224116	SAMN02769563	na	na	1501269	1501269	Prochlorococcus sp. MIT 0801	strain=MIT 0801	na	latest	Complete Genome	Major	Full	2014-09-25	ASM75786v1	MIT	GCA_000757865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/865/GCF_000757865.1_ASM75786v1	na	na	na	haploid	bacteria	1929203	1929203	35.000000	1	1	1	NCBI RefSeq	GCF_000757865.1-RS_2024_08_13	2024-08-13	2200	2145	45	na
GCF_000817325.1	PRJNA224116	SAMN03278348	na	na	1350461	32046	Synechococcus elongatus UTEX 2973	strain=UTEX 2973	na	latest	Complete Genome	Major	Full	2015-01-09	ASM81732v1	Washington University in St Louis	GCA_000817325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/325/GCF_000817325.1_ASM81732v1	na	na	na	haploid	bacteria	2744626	2744626	55.500000	3	3	3	NCBI RefSeq	GCF_000817325.1-RS_2025_05_13	2025-05-13	2775	2714	54	na
GCF_000829235.1	PRJNA224116	SAMD00061037	na	reference genome	1228987	718217	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	na	ETSB Lake Yunoko	latest	Complete Genome	Major	Full	2014-07-23	ASM82923v1	Department of Biochemistry & Molecular Biology, Dalhousie University	GCA_000829235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/235/GCF_000829235.1_ASM82923v1	na	na	na	haploid	bacteria	2794318	2794318	33.500000	1	1	1	NCBI RefSeq	GCF_000829235.1-RS_2024_12_13	2024-12-13	1888	1739	49	25049384
GCF_000981785.2	PRJNA224116	SAMN03480410	na	na	1641812	1126	Microcystis aeruginosa NIES-2549	strain=NIES-2549	na	latest	Complete Genome	Major	Full	2018-01-30	ASM98178v2	National Institute for Environmental Studies	GCA_000981785.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/785/GCF_000981785.2_ASM98178v2	na	na	na	haploid	bacteria	4301200	4301200	43.000000	2	2	2	NCBI RefSeq	GCF_000981785.2-RS_2025_03_11	2025-03-11	4093	3858	51	26021928
GCF_001264245.1	PRJNA224116	SAMN03392520	na	na	1638788	513223	Microcystis panniformis FACHB-1757	strain=FACHB-1757	na	latest	Complete Genome	Major	Full	2015-08-11	ASM126424v1	Wuxi Environmental Monitoring Centre & Southeast University	GCA_001264245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/264/245/GCF_001264245.1_ASM126424v1	na	na	na	haploid	bacteria	5686839	5686839	42.500000	1	1	1	NCBI RefSeq	GCF_001264245.1-RS_2024_08_13	2024-08-13	5641	4836	52	26823957
GCF_001277295.1	PRJNA224116	SAMN03568000	na	na	1647413	1647413	Anabaena sp. WA102	strain=WA102	1	latest	Complete Genome	Major	Full	2015-09-01	ASM127729v1	Oregon State University	GCA_001277295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/277/295/GCF_001277295.1_ASM127729v1	na	na	na	haploid	bacteria	5782034	5782034	38.500000	2	2	2	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-03-03	5346	5108	62	na
GCF_001318385.1	PRJNA224116	SAMN04111259	na	na	1148	1148	Synechocystis sp. PCC 6803	strain=PCC 6803 substr. GT-G	na	latest	Complete Genome	Major	Full	2015-10-16	ASM131838v1	South China University of Technology	GCA_001318385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/318/385/GCF_001318385.1_ASM131838v1	na	na	na	haploid	bacteria	3569196	3569196	47.500000	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-03-03	3338	3232	51	26473841
GCF_001521855.1	PRJNA224116	SAMN04422304	na	na	374982	374982	Picosynechococcus sp. PCC 73109	strain=PCC 73109	na	latest	Complete Genome	Major	Full	2016-01-21	ASM152185v1	Pennsylvania State University	GCA_001521855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/521/855/GCF_001521855.1_ASM152185v1	na	na	na	haploid	bacteria	3298676	3298676	49.500000	6	6	6	NCBI RefSeq	GCF_001521855.1-RS_2024_11_05	2024-11-05	3166	3097	55	na
GCF_001548095.1	PRJNA224116	SAMD00025579	na	na	1615909	1615909	Geminocystis sp. NIES-3708	strain=NIES-3708	na	latest	Complete Genome	Major	Full	2015-03-18	Gm3709_assembly_1.0	Toyohashi University of Technology	GCA_001548095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/095/GCF_001548095.1_Gm3709_assembly_1.0	na	na	na	haploid	bacteria	4042078	4042078	32.500000	6	6	6	NCBI RefSeq	GCF_001548095.1-RS_2024_11_05	2024-11-05	3635	3516	57	25953174
GCF_001548115.1	PRJNA224116	SAMD00027151	na	na	1617448	1617448	Geminocystis sp. NIES-3709	strain=NIES-3709	na	latest	Complete Genome	Major	Full	2015-03-18	Gm3709_assembly_1.0	Toyohashi University of Technology	GCA_001548115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/115/GCF_001548115.1_Gm3709_assembly_1.0	na	na	na	haploid	bacteria	4426059	4426059	33.500000	12	12	12	NCBI RefSeq	GCF_001548115.1-RS_2024_11_06	2024-11-06	3849	3654	56	25931605
GCF_001548375.1	PRJNA224116	SAMD00042755	na	na	1751286	1751286	Nostoc sp. NIES-3756	strain=NIES-3756	na	latest	Complete Genome	Major	Full	2015-11-18	ASM154837v1	Toyohashi University of Technology	GCA_001548375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/375/GCF_001548375.1_ASM154837v1	na	na	na	haploid	bacteria	6987571	6987571	40.500000	3	3	3	NCBI RefSeq	GCF_001548375.1-RS_2024_04_07	2024-04-07	6079	5882	80	26656223
GCF_001548395.1	PRJNA224116	SAMD00045841	na	na	1080068	1080068	Leptolyngbya sp. O-77	strain=O-77	na	latest	Complete Genome	Major	Full	2016-01-29	ASM154839v1	Kyushu University	GCA_001548395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/395/GCF_001548395.1_ASM154839v1	na	na	na	haploid	bacteria	5480261	5480261	56.000000	1	1	1	NCBI RefSeq	GCF_001548395.1-RS_2025_01_08	2025-01-08	4894	4733	55	na
GCF_001548455.1	PRJNA224116	SAMD00042785	na	na	1752063	1752063	Fischerella sp. NIES-3754	strain=NIES-3754	na	latest	Complete Genome	Major	Full	2015-12-17	ASM154845v1	Toyohashi University of Technology	GCA_001548455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/455/GCF_001548455.1_ASM154845v1	na	na	na	haploid	bacteria	5826863	5826863	41.000000	3	3	3	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-12	4986	4772	60	26784989
GCF_001693255.1	PRJNA224116	SAMN04422302	na	na	374981	374981	Picosynechococcus sp. PCC 7003	strain=PCC 7003	na	latest	Complete Genome	Major	Full	2016-07-25	ASM169325v1	Pennsylvania State University	GCA_001693255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/693/255/GCF_001693255.1_ASM169325v1	na	na	na	haploid	bacteria	3345085	3345085	49.500000	3	3	3	NCBI RefSeq	GCF_001693255.1-RS_2024_11_06	2024-11-06	3211	3129	53	na
GCF_001693275.1	PRJNA224116	SAMN04422303	na	na	195498	195498	Picosynechococcus sp. PCC 7117	strain=PCC 7117	na	latest	Complete Genome	Major	Full	2016-07-25	ASM169327v1	Pennsylvania State University	GCA_001693275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/693/275/GCF_001693275.1_ASM169327v1	na	na	na	haploid	bacteria	3432101	3432101	49.000000	6	6	6	NCBI RefSeq	GCF_001693275.1-RS_2024_11_06	2024-11-06	3311	3233	55	na
GCF_001693295.1	PRJNA224116	SAMN04422305	na	na	195248	195248	Picosynechococcus sp. PCC 8807	strain=PCC 8807	na	latest	Complete Genome	Major	Full	2016-07-25	ASM169329v1	Pennsylvania State University	GCA_001693295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/693/295/GCF_001693295.1_ASM169329v1	na	na	na	haploid	bacteria	3304088	3304088	49.500000	7	7	7	NCBI RefSeq	GCF_001693295.1-RS_2024_11_06	2024-11-06	3221	3143	55	na
GCF_001704955.2	PRJNA224116	SAMN03955402	na	na	1698524	1126	Microcystis aeruginosa NIES-2481	strain=NIES-2481	na	latest	Complete Genome	Major	Full	2018-01-22	ASM170495v2	National Institute for Environmental Studies	GCA_001704955.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/704/955/GCF_001704955.2_ASM170495v2	na	na	na	haploid	bacteria	4440545	4440545	43.000000	2	2	2	NCBI RefSeq	GCF_001704955.2-RS_2025_05_20	2025-05-20	4256	3997	51	na
GCF_001746915.2	PRJNA224116	SAMN05788062	MJGC00000000.2	reference genome	1781255	1185873	Desertifilum tharense IPPAS B-1220	strain=IPPAS B-1220	na	latest	Complete Genome	Major	Full	2025-08-14	ASM174691v3	Institute of Plant Physiology, Russian Academy of Sciences	GCA_001746915.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/746/915/GCF_001746915.2_ASM174691v3	na	na	na	haploid	bacteria	6145247	6145247	48.500000	2	2	2	NCBI RefSeq	GCF_001746915.3-RS_2025_08_15	2025-08-15	5211	5084	71	27856594;28130365
GCF_001767235.1	PRJNA224116	SAMN05826283	na	na	1458985	1155739	Moorena producens PAL-8-15-08-1	strain=PAL-8-15-08-1	na	latest	Complete Genome	Major	Full	2016-10-18	ASM176723v1	UCSD	GCA_001767235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/767/235/GCF_001767235.1_ASM176723v1	na	na	na	haploid	bacteria	9708656	9708656	43.500000	2	2	2	NCBI RefSeq	GCF_001767235.1-RS_2025_03_09	2025-03-09	8429	8126	71	28265051
GCF_001885215.1	PRJNA224116	SAMN06006676	na	na	1916956	1916956	Synechococcus sp. SynAce01	strain=SynAce01	na	latest	Complete Genome	Major	Full	2016-11-22	ASM188521v1	Peking University Shenzhen Graduate School	GCA_001885215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/885/215/GCF_001885215.1_ASM188521v1	na	na	na	haploid	bacteria	2750634	2750634	64.000000	1	1	1	NCBI RefSeq	GCF_001885215.1-RS_2024_05_07	2024-05-07	2894	2803	54	30609821
GCF_002075285.3	PRJNA224116	SAMN03466112	na	reference genome	1641165	1209493	Halomicronema hongdechloris C2206	strain=C2206	na	latest	Complete Genome	Major	Full	2019-01-25	ASM207528v3	Macquarie University	GCA_002075285.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/075/285/GCF_002075285.3_ASM207528v3	na	assembly from type material	na	haploid	bacteria	5577845	5577845	54.500000	1	1	1	NCBI RefSeq	GCF_002075285.3-RS_2024_10_11	2024-10-11	5230	4924	55	26514405
GCF_002095975.1	PRJNA224116	SAMN05786724	na	na	1903187	1126	Microcystis aeruginosa PCC 7806SL	strain=PCC 7806SL	na	latest	Complete Genome	Major	Full	2017-04-18	ASM209597v1	Institute of Hydrobiology, Chinese Academy of Sciences	GCA_002095975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/095/975/GCF_002095975.1_ASM209597v1	na	na	na	haploid	bacteria	5139339	5139339	42.000000	1	1	1	NCBI RefSeq	GCF_002095975.1-RS_2025_03_23	2025-03-23	4937	4469	52	29778228
GCF_002142475.1	PRJNA224116	SAMD00019988	na	reference genome	411966	1184	Leptolyngbya boryana IAM M-101	strain=IAM M-101	na	latest	Complete Genome	Major	Full	2015-02-14	ASM214247v1	Graduate School of Bioagricultural Sciences, Nagoya University	GCA_002142475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/142/475/GCF_002142475.1_ASM214247v1	na	na	na	haploid	bacteria	6803468	6803468	47.000000	4	4	4	NCBI RefSeq	GCF_002142475.1-RS_2024_10_23	2024-10-23	6445	6302	80	25416288
GCF_002142495.1	PRJNA224116	SAMD00019989	na	na	1260963	1184	Leptolyngbya boryana dg5	strain=dg5	na	latest	Complete Genome	Major	Full	2015-02-14	ASM214249v1	Graduate School of Bioagricultural Sciences, Nagoya University	GCA_002142495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/142/495/GCF_002142495.1_ASM214249v1	na	na	na	haploid	bacteria	6803469	6803469	47.000000	4	4	4	NCBI RefSeq	GCF_002142495.1-RS_2024_10_23	2024-10-23	6445	6302	80	25416288
GCF_002368395.1	PRJNA224116	SAMD00081174	na	na	2005462	2005462	Calothrix sp. NIES-3974	strain=NIES-3974	na	latest	Complete Genome	Major	Full	2017-06-25	ASM236839v1	Toyohashi University of Technology	GCA_002368395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/368/395/GCF_002368395.1_ASM236839v1	na	na	na	haploid	bacteria	5985875	5985875	41.500000	1	1	1	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-03	4815	4664	55	34677568
GCF_002754935.1	PRJNA224116	SAMN06008796	na	reference genome	1917166	33070	Parathermosynechococcus lividus PCC 6715	strain=PCC 6715	na	latest	Complete Genome	Major	Full	2017-11-06	ASM275493v1	Peking University Shenzhen Graduate School	GCA_002754935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/754/935/GCF_002754935.1_ASM275493v1	na	assembly from type material	na	haploid	bacteria	2659739	2659739	53.500000	1	1	1	NCBI RefSeq	GCF_002754935.1-RS_2024_11_19	2024-11-19	2678	2429	48	35602029
GCF_002813575.1	PRJNA224116	SAMN07658063	na	reference genome	2038116	1306274	Nostoc flagelliforme CCNUN1	strain=CCNUN1	na	latest	Complete Genome	Major	Full	2017-12-07	ASM281357v1	Central China Normal University	GCA_002813575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/575/GCF_002813575.1_ASM281357v1	na	na	na	haploid	bacteria	10231233	10231233	42.000000	9	9	9	NCBI RefSeq	GCF_002813575.1-RS_2024_11_18	2024-11-18	9773	9049	97	30623567
GCF_002896875.1	PRJNA224116	SAMN07604078	na	na	1869241	1869241	Nostoc sp. CENA543	strain=CENA543	na	latest	Complete Genome	Major	Full	2018-01-24	ASM289687v1	University of Helsinki	GCA_002896875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/896/875/GCF_002896875.1_ASM289687v1	na	na	na	haploid	bacteria	7207640	7207640	41.000000	6	6	6	NCBI RefSeq	GCF_002896875.1-RS_2024_09_15	2024-09-15	6149	5986	102	28933529
GCF_002949735.1	PRJNA224116	SAMN03445855	na	na	1261031	1261031	Nostoc sp. 'Peltigera membranacea cyanobiont' N6	strain=N6	na	latest	Complete Genome	Major	Full	2018-02-26	ASM294973v1	University of Iceland	GCA_002949735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/949/735/GCF_002949735.1_ASM294973v1	na	na	na	haploid	bacteria	8898590	8898590	41.500000	11	11	11	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-02-25	7743	7399	144	na
